County,Number of Students,Elementary school Plan,Secondary School Plan,Risk,FIPS,Cases
Accomack,5171,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51001,"1,141"
Albermarle,14435,All virtual ,All virtual ,Low,51003,"1,002"
Alexandria,16307,All Virtual,All Virtual,Low,51510,"3,352"
Alleghany,2024,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51005,64
Amelia,1731,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High,51007,98
Amherst,4115,All students 4 days in-school on staggered schedule and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,Moderate,51009,277
Appomatox,2279,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High,51011,157
Arlington,28151,All Virtual,All Virtual,Low,51013,"3,492"
Augusta,10342,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51015,354
Bath,530,"All students PK-Grade 2, 4 days in-school and 1 days virtual","All students PK-Grade 2, 4 days in-school and 1 days virtual",High,51017,4
Bedford,9562,"PK-Grade 6, 4 days in-personwith social distancing and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High,51019,526
Bland,693,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51021,42
Botetourt,4672,"All students PK-Grade 2, 4 days in-school and 1 days virtual","Grade 3-12, 2 days in-school (50% students) and 3 days virtual ",High,51023,247
Bristol,2255,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High,51520,115
Brunswick,1538,All virtual ,All virtual ,Low,51025,281
Buchanan,2676,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High,51027,97
Buckingham,2113,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51029,644
Buena Vista City,895,"PK-Grade 7, 4 days in-person (smaller cohort) and 1 day virtual ",2 days in-school (50% students) and 3 days virtual ,High,51530,72
Campbell,7921,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High,51031,310
Caroline,4253,All Virtual,All Virtual,Low,51033,256
Carroll,3713,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51035,388
Charles City,620,still planning,Still planning,still Planning,51036,66
Charlotte,1763,All virtual ,All virtual,Low,51037,67
Charolttesville,4549,All Virtual,All Virtual,Low,51540,623
Cheaspeake,41597,All Virtual,All Virtual,Low,51550,"3,685"
Chesterfield*,62669,All Virtual,All Virtual,Low,51041,"4,974"
Clarke,1926,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51043,78
Colonial Heights,2899,All students 5 days in-person 5 hours a day,All students 5 days in-person 5 hours a day,Low,51570,219
Covington,1018,"All students PK-Grade 2, 5 days in-school. Grade 3-7, 5 days in-school and virtual (50% students)","Grade 8-12, 4 days in-school (50% students) and 1 days virtual ",High,51580,23
Craig,588,"All students PK-Grade 8, in-person 4 days and 1 day virtual",2 days in-school (50% students) and 3 days virtual ,High,51045,21
Culpeper,8521,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51047,"1,104"
Cumberland,1321,All virtual,All virtual,Low,51049,96
Danville,5702,All virtual,All virtual,Low,51590,582
Dickenson,2064,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51051,63
Dinwiddie,4347,"2 days in-person (50% students), 2 days at home learning","2 days in-person (50% students), 2 days at home learning",Moderate,51053,281
Emporia,0,No data,No data,None,51595,219
Essex,1320,All virtual ,All virtual ,only special need in-person,51057,116
Fairfax,188940,All Virtual,All Virtual,Low,51059,"18,084"
Fairfax City,1078,All Virtual,All Virtual,Low,51600,110
Falls Church,2649,All virtual,All virtual,Low,51610,66
Fauquier,11181,All Virtual,All Virtual,Low,51061,742
Floyd,1923,"PK-3, 4 days in-school and Grade 4-7, 2 days in-school(50% students) 1 day virtual",1 day in-school (25% students) and 4 days virtual,High,51063,140
Fluvanna,3549,All Virtual,All Virtual,Low,51065,222
Franklin City,7042,All virtual,All Virtual,Low,51620,283
Frankling County,7000,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51067,208
Frederick,13880,"All PK-1, 4 days in-person","Grade 2-12, 2 days in-school (50%) and 3 days virtual",Moderate,51069,757
Fredericksburg,3763,All virtual ,All virtual,Low,51630,472
Galax,1338,All virtual,All virtual,Low,51640,394
Giles,2394,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51071,37
Gloucester,5306,All Virtual,All Virtual,Low,51073,200
Goochland,2619,All Virtual,All Virtual,Low,51075,214
Grayson,1556,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High,51077,184
Greene,2978,All students 5 days in-school,2 days in-school (50% students) and 3 days virtual ,High,51079,199
Greensville,2223,All Virtual,All Virtual,Low,51081,668
Halifax,4896,All Virtual,All Virtual,Low,51083,202
Hampton,19590,All Virtual,All Virtual,Low,51650,"1,519"
Hanover,17541,All students 5 days in-school  (reduced and staggered bus timing),All students 5 days in-school  (reduced and staggered bus timing),High,51085,768
Harrisonburg,6613,All Virtual,All Virtual,Low,51660,"1,203"
Henrico,51786,All virtual,All virtual,Low,51087,"4,510"
Henry,7381,All virtual,All Virtual,Low,51089,809
Highland,218,All students in-person 5 days ,All students in-person 5 days ,High,51091,6
Hopewell,4283,All Virtual,All Virtual,Low,51670,338
Isle of Wight,5630,"PK-Grade 3, 2 days in-school (50% students) and 3 days virtual ","Grade 4-12, all virtual",Moderate,51093,519
James City,11400,All virtual,All virtual,Low,51095,726
King and Queen,833,"PK-7, 2 days in-school (50% students) and 3 days virtual","Grade 8-12, 3 groups (50% students)",Moderate,51097,49
King George,4518,All virtual ,All virtual,Low,51099,202
King William,2188,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51101,111
Lancaster,1079,All Virtual,All Virtual,Low,51103,66
Lee,3192,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51105,183
Lexington,503,All students 5 days in-school on shortned schedule,All students 5 days in-school on shortned schedule,High,51678,42
Loudoun,83936,All virtual,All virtual,Low,51107,"5,878"
Louisa,4987,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51109,243
Lunenburg,1590,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High,51111,93
Lynchburg,8238,2 days in-school (50% students) and 2 days virtual,All students virtual until September 8,Moderate,51680,936
Madison,1726,"All students K-3, 4 days in-school and 1 day virtual. Grade 4-5, 2 days in-school (50% students) and 3 days virtual","Grade 6-7, 2 days in-school (50% students) and 3 days virtual. Grade 8, 1 day in-school (50% student) and 4 days virtual",Moderate,51113,87
Manassas City,7789,All virtual ,All virtual,Low,51683,"1,782"
Manassas Park,3641,All virtual ,All virtual,Low,51685,558
Martinsville,1930,All virtual,All Virtual,Low,51690,316
Mathews,1008,K-Grade 8; First 2 weeks 50% students; remaing 9 weeks all virtual,All Virtual,Moderate,51115,23
Mecklenburg,4205, All students 4 days in-school and 1 day virtual, All students 4 days in-school and 1 day virtual,High,51117,501
Middlesex,1208,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51119,55
Montgomery,10102,4 half days (50% students),4 half days (50% students),Moderate,51121,427
Nelson,1695,All virtual ,All virtual ,only special need in-person,51125,83
New Kent,3354,"2 days in-person (50% students), 2 days non internet based activites from home","All students 2 days in-person (50% students), 2 days non internet based activites from home",Moderate,51127,147
Newport News,28655,All Virtual,All Virtual,Low,51700,"2,216"
Norfolk,29851,All virtual,All virtual,Low,51710,"4,328"
Northampton,1520,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51131,303
Northumberland,1279,"PK-Grade 3, 2 days in-school (50% students) and 3 days virtual ","Grade 4-12, all virtual",Moderate,51133,86
Norton,818,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,High,51720,26
Nottoway,1990,All Virtual,All Virtual,Low,51135,194
Orange,5092,2 days in-school (50% students) and 3 days virtual ,"Grade 6-8, 2 days in-school and 3 days virtual. Grade 9-12, 1 day in-school (25% student) and 4 days virtual",Moderate,51137,257
Page,3354,"All PK-1, 4 days in-person (upto 12 students in a class)","Grade 2-8, 2 days in-school (50%) and 3 days virtual; Grade 9-12, 2 days in-person (50% students) and 3 days virtual",Moderate,51139,360
Patrick,2558,All virtual,All Virtual,Low,51141,217
Petersburg,4211,All Virtual,All Virtual,Low,51730,614
Pittsylvania,8723,All Virtual,All Virtual,Low,51143,714
Poquoson,2137,"PK-Grade 3, 2 days in-school (50%), 3 days virtual",Grade 4-12 all viirtual,Moderate,51735,63
Portsmouth,13991,All Virtual,All Virtual,Low,51740,"2,186"
Powhatan,4356,"PK- Grade 3, all students 5 days in-school","Grade 4-12, 2 days in-school (50% students), 3 days virtual",High,51145,185
Prince Edward,2057,All Virtual,All Virtual,Low,51147,478
Prince George,6353,"All students 4 days in-school, 1 day virtual","All students 4 days in-school with 4 classes per semester, 1 day virtual",High,51149,506
Prince William,92270,All virtual ,All virtual,Low,51153,"10,648"
Pulaski,4096,"5 days in-school  (25% students) first week, 50% week 2 & 3","Grade 6-8, Half day first week and all virtual from week 2. Grade 9-12, 5 days in-school  (25% students)",Moderate,51155,126
Radford,1642,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51750,282
Rappahannock,791,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51157,53
Richmond City,25212,All virtual ,All virtual ,Low,51760,"3,795"
Richmond County,1301,All students 4 days in-school and 1 day virtual (Alternate week),All students 4 days in-school and 1 day virtual (Alternate week),High,51159,326
Roanoke City,14049,All Virtual,All Virtual,Low,51770,"1,179"
Roanoke County,13999,All students K-2 in-person 5 days with reduced size,"Grade 3-12, 2 days in-school (50% students) and 3 days virtual ",High,51161,598
Rockbridge,2819,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51163,84
Rockingham,11928,"PK-Grade1, 4 days in-person, 1 day virtual","Grade2-12, all virtual",Moderate,51165,"1,032"
Russell,3715,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51167,177
Salem,3931,1 day in-school (25%) until Sept 11,1 day in-school (25%) until Sept 11,Moderate,51775,208
Scott,3512,"All students PK-Grade 3, 4 days in school",All Virtual for students Grade 4- 12 ,Moderate,51169,148
Shenandoah,6006,All Virtual,All Virtual,Low,51171,764
Smyth,4269,All virtual,All virtual,Low,51173,253
Southampton,2803,All virtual,All Virtual,Low,51175,338
Spotsylvania,23903,All virtual ,All virtual,Low,51177,"1,769"
Stafford,30120,All Virtual,All Virtual,Low,51179,"1,660"
Staunton,2738,2 days in-school (50% students) with modified schedule and 3 days virtual ,2 days in-school (50% students) with modified schedule and 3 days virtual ,Moderate,51790,170
Suffolk,14323,All virtual,All Virtual,Low,51800,"1,603"
Surry,738,All Virtual,All Virtual,Low,51181,63
Sussex,1095,All Virtual tentatively,All Virtual tentatively,Low,51183,334
Tazewell,5587,All students 4 days in-school and 1 day virtual,All students 4 days in-school and 1 day virtual,Moderate,51185,186
Virginia Beach,68706,All Virtual,All Virtual,Low,51810,"5,948"
Warren,5376,All students 4 days in-school and 1 day virtual,1 day in school and 4 days virtual,Moderate,51187,389
Washington,7052,All virtual,All virtual,Low,51191,345
Waynesboro,2961,All remote,All remote,Low,51820,214
Westmoreland,1603,All Virtual,All Virtual,Low,51193,223
Willamsburg,11805,All virtual,All virtual,Low,51830,153
Winchester,4392,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,High,51840,436
Wise,5632,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate,51195,317
Wythe,3982,All virtual,All virtual,Low,51197,149
York,13184,All Virtual,All Virtual,Low,51199,444
